time,open,high,low,close
2023-05-08T11:41:00-03:00,4130.06,4132.67,4130.01,4132.54
2023-05-08T11:42:00-03:00,4132.55,4132.95,4132.23,4132.76
2023-05-08T11:43:00-03:00,4132.76,4133.25,4132.56,4132.56
2023-05-08T11:44:00-03:00,4132.61,4132.61,4131.46,4132.44
2023-05-08T11:45:00-03:00,4132.56,4132.99,4132.39,4132.8
2023-05-08T11:46:00-03:00,4132.68,4132.68,4131.34,4132.07
2023-05-08T11:47:00-03:00,4132.15,4133.61,4132.15,4133.2
2023-05-08T11:48:00-03:00,4133.26,4133.26,4132.33,4133.16
2023-05-08T11:49:00-03:00,4133.15,4134.91,4133.15,4134.69
2023-05-08T11:50:00-03:00,4134.8,4134.92,4134.38,4134.38
2023-05-08T11:51:00-03:00,4134.46,4135.16,4134.41,4134.81
2023-05-08T11:52:00-03:00,4134.81,4135.17,4134.45,4134.61
2023-05-08T11:53:00-03:00,4134.65,4134.93,4134.3,4134.3
2023-05-08T11:54:00-03:00,4134.28,4135.18,4134.18,4135.15
2023-05-08T11:55:00-03:00,4135.24,4135.42,4134.64,4135.11
2023-05-08T11:56:00-03:00,4135.14,4135.82,4134.8,4134.83
2023-05-08T11:57:00-03:00,4134.67,4135.51,4134.63,4135.47
2023-05-08T11:58:00-03:00,4135.38,4136.07,4134.98,4135.5
2023-05-08T11:59:00-03:00,4135.43,4135.43,4134.23,4134.28
2023-05-08T12:00:00-03:00,4134.32,4135.29,4134.04,4135.29
2023-05-08T12:01:00-03:00,4135.45,4136.22,4135.43,4135.43
2023-05-08T12:02:00-03:00,4135.22,4136.19,4135.22,4136.01
2023-05-08T12:03:00-03:00,4136.1,4136.1,4135.43,4135.68
2023-05-08T12:04:00-03:00,4135.72,4136.45,4135.66,4136.28
2023-05-08T12:05:00-03:00,4136.37,4136.37,4135.22,4135.39
2023-05-08T12:06:00-03:00,4135.45,4136.31,4135.32,4136.06
2023-05-08T12:07:00-03:00,4136.15,4136.8,4135.76,4136.79
2023-05-08T12:08:00-03:00,4136.85,4137.23,4136.73,4136.91
2023-05-08T12:09:00-03:00,4136.94,4137.69,4136.7,4137.69
2023-05-08T12:10:00-03:00,4137.72,4137.82,4137.28,4137.79
2023-05-08T12:11:00-03:00,4137.85,4138.26,4137.72,4138.23
2023-05-08T12:12:00-03:00,4138.36,4138.54,4138.1,4138.53
2023-05-08T12:13:00-03:00,4138.56,4138.56,4137.16,4137.42
2023-05-08T12:14:00-03:00,4137.54,4137.54,4135.59,4135.78
2023-05-08T12:15:00-03:00,4135.78,4135.78,4134.69,4134.86
2023-05-08T12:16:00-03:00,4134.91,4135.68,4134.64,4134.94
2023-05-08T12:17:00-03:00,4134.95,4135.4,4134.67,4135.29
2023-05-08T12:18:00-03:00,4135.35,4136.16,4134.89,4135.81
2023-05-08T12:19:00-03:00,4135.76,4135.94,4135.55,4135.93
2023-05-08T12:20:00-03:00,4135.94,4135.94,4135.03,4135.08
2023-05-08T12:21:00-03:00,4135.07,4135.33,4134.56,4134.58
2023-05-08T12:22:00-03:00,4134.68,4134.69,4133.33,4134.28
2023-05-08T12:23:00-03:00,4134.27,4134.27,4133.48,4133.98
2023-05-08T12:24:00-03:00,4133.99,4134.74,4133.93,4134.35
2023-05-08T12:25:00-03:00,4134.11,4134.14,4132.82,4132.82
2023-05-08T12:26:00-03:00,4132.82,4133.49,4132.77,4132.9
2023-05-08T12:27:00-03:00,4132.8,4133.23,4132.04,4133.22
2023-05-08T12:28:00-03:00,4133.19,4133.42,4132.36,4132.36
2023-05-08T12:29:00-03:00,4132.4,4132.4,4131.13,4131.46
2023-05-08T12:30:00-03:00,4131.4,4131.4,4130.35,4130.43
2023-05-08T12:31:00-03:00,4130.38,4130.38,4129.12,4130.23
2023-05-08T12:32:00-03:00,4130.24,4130.83,4129.81,4130.83
2023-05-08T12:33:00-03:00,4130.86,4131.22,4130.32,4130.53
2023-05-08T12:34:00-03:00,4130.57,4132.24,4130.56,4131.97
2023-05-08T12:35:00-03:00,4131.93,4131.93,4131.5,4131.83
2023-05-08T12:36:00-03:00,4131.84,4132.23,4131.69,4132.19
2023-05-08T12:37:00-03:00,4132.2,4132.34,4131.59,4132.22
2023-05-08T12:38:00-03:00,4132.25,4132.82,4131.67,4131.75
2023-05-08T12:39:00-03:00,4131.76,4132.06,4131.42,4131.63
2023-05-08T12:40:00-03:00,4131.71,4132.39,4131.37,4132.23
2023-05-08T12:41:00-03:00,4132.1,4132.12,4131.51,4131.7
2023-05-08T12:42:00-03:00,4131.76,4131.9,4131.34,4131.78
2023-05-08T12:43:00-03:00,4131.76,4133.04,4131.29,4132.97
2023-05-08T12:44:00-03:00,4133.1,4133.53,4133.05,4133.53
2023-05-08T12:45:00-03:00,4133.57,4133.95,4133.26,4133.38
2023-05-08T12:46:00-03:00,4133.39,4135.37,4133.39,4135.35
2023-05-08T12:47:00-03:00,4135.22,4135.65,4135.11,4135.55
2023-05-08T12:48:00-03:00,4135.59,4135.82,4134.89,4134.89
2023-05-08T12:49:00-03:00,4134.86,4135.12,4134.72,4135.06
2023-05-08T12:50:00-03:00,4135.07,4135.53,4134.76,4135.31
2023-05-08T12:51:00-03:00,4135.32,4135.61,4135.17,4135.4
2023-05-08T12:52:00-03:00,4135.45,4135.53,4135.23,4135.32
2023-05-08T12:53:00-03:00,4135.31,4136.13,4135.23,4136.09
2023-05-08T12:54:00-03:00,4136.18,4137.31,4136.18,4137.16
2023-05-08T12:55:00-03:00,4137.18,4137.18,4136.69,4136.8
2023-05-08T12:56:00-03:00,4136.56,4136.57,4135.67,4136.12
2023-05-08T12:57:00-03:00,4136.29,4136.76,4136.24,4136.71
2023-05-08T12:58:00-03:00,4136.72,4136.82,4136.25,4136.79
2023-05-08T12:59:00-03:00,4136.82,4136.82,4136.09,4136.54
2023-05-08T13:00:00-03:00,4136.63,4136.98,4136.31,4136.95
2023-05-08T13:01:00-03:00,4137.05,4137.11,4136.35,4137.08
2023-05-08T13:02:00-03:00,4137.17,4137.75,4137.1,4137.73
2023-05-08T13:03:00-03:00,4137.71,4137.76,4136.4,4136.4
2023-05-08T13:04:00-03:00,4136.44,4136.44,4134.84,4135.1
2023-05-08T13:05:00-03:00,4135.08,4135.08,4134.28,4134.5
2023-05-08T13:06:00-03:00,4134.51,4135.18,4134.31,4135.07
2023-05-08T13:07:00-03:00,4135.11,4135.57,4134.87,4135.32
2023-05-08T13:08:00-03:00,4135.36,4135.42,4134.37,4134.6
2023-05-08T13:09:00-03:00,4134.63,4135.65,4134.62,4135.53
2023-05-08T13:10:00-03:00,4135.51,4135.51,4133.86,4133.98
2023-05-08T13:11:00-03:00,4134.04,4134.53,4133.92,4134.53
2023-05-08T13:12:00-03:00,4134.63,4134.63,4132.73,4132.77
2023-05-08T13:13:00-03:00,4132.71,4132.71,4131.86,4132.28
2023-05-08T13:14:00-03:00,4132.28,4132.85,4132.16,4132.26
2023-05-08T13:15:00-03:00,4132.22,4132.26,4131.12,4131.26
2023-05-08T13:16:00-03:00,4131.33,4131.95,4131.33,4131.38
2023-05-08T13:17:00-03:00,4131.33,4133.1,4131.32,4132.83
2023-05-08T13:18:00-03:00,4132.86,4133.42,4132.85,4133.42
2023-05-08T13:19:00-03:00,4133.47,4134.57,4133.47,4134.47
2023-05-08T13:20:00-03:00,4134.45,4134.47,4133.81,4134.01
2023-05-08T13:21:00-03:00,4134.06,4134.82,4134.06,4134.66
2023-05-08T13:22:00-03:00,4134.78,4134.78,4133.61,4133.91
2023-05-08T13:23:00-03:00,4133.91,4134.4,4133.9,4134.09
2023-05-08T13:24:00-03:00,4134.17,4134.2,4133.64,4133.74
2023-05-08T13:25:00-03:00,4133.77,4134.24,4133.73,4134.09
2023-05-08T13:26:00-03:00,4134.14,4134.14,4132.86,4133.54
2023-05-08T13:27:00-03:00,4133.56,4133.72,4133.02,4133.25
2023-05-08T13:28:00-03:00,4133.21,4133.46,4133.07,4133.25
2023-05-08T13:29:00-03:00,4133.29,4133.76,4133.29,4133.76
2023-05-08T13:30:00-03:00,4133.86,4134.52,4133.86,4134.52
2023-05-08T13:31:00-03:00,4134.65,4134.96,4134.28,4134.28
2023-05-08T13:32:00-03:00,4134.31,4134.31,4133.86,4133.99
2023-05-08T13:33:00-03:00,4134.07,4134.4,4133.08,4133.25
2023-05-08T13:34:00-03:00,4133.29,4133.29,4132.35,4132.51
2023-05-08T13:35:00-03:00,4132.55,4133.25,4132.55,4132.82
